course name,duration,rating,advantage,course link
"Google Docs4.72K Learners1 hrsCompletion CertificateEarn up to $49,000",1 hrs,4.7,"Completion CertificateEarn up to $49,000",https://www.simplilearn.com/free-google-docs-course-skillup
"Google Sheets4.64K Learners1 hrsCompletion CertificateEarn up to $120,567",1 hrs,4.6,"Completion CertificateEarn up to $120,567",https://www.simplilearn.com/free-google-sheets-course-skillup
"Google Slides4.61.5K Learners1 hrsCompletion CertificateEarn up to $127,200",1 hrs,4.6,"Completion CertificateEarn up to $127,200",https://www.simplilearn.com/free-google-slides-course-skillup
"Google Meet4.71 hrsCompletion CertificateEarn up to $136,264",1 hrs,4.7,"Completion CertificateEarn up to $136,264",https://www.simplilearn.com/free-google-meet-course-skillup
"Google Chat4.51 hrsCompletion CertificateEarn up to $136,264",1 hrs,4.5,"Completion CertificateEarn up to $136,264",https://www.simplilearn.com/free-google-chat-course-skillup
"Google Sheets - Advanced Topics4.63K Learners1 hrsCompletion CertificateEarn up to $120,567",1 hrs,4.6,"Completion CertificateEarn up to $120,567",https://www.simplilearn.com/free-advanced-google-sheets-course-skillup
"Getting Started with Amazon Managed Service for Prometheus4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-managed-prometheus-course-skillup
"Getting Started with AWS IoT SiteWise4.41 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.4,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-iot-sitewise-edge-course-skillup
"Getting Started with AWS Control Tower4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-control-tower-course-skillup
"Getting Started with AWS Security Hub4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-security-hub-course-skillup
"Getting Started with Amazon Detective4.61 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.6,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-amazon-detective-course-skillup
"AWS Networking Basics4.61.5K Learners1 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.6,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-networking-course-skillup
"Amazon Simple Storage Service (Amazon S3) Storage Classes4.71 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.7,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-simple-storage-service-course-skillup
"Getting Started with AWS Mainframe Modernization Service4.71 hrsCompletion CertificateEarn up to $173,488",1 hrs,4.7,"Completion CertificateEarn up to $173,488",https://www.simplilearn.com/free-aws-mainframe-modernization-course-skillup
